,col1,col2
0, Hi!, What is your favorite holiday?
2, one where I get to meet lots of different people., What was the most number of people you have ever met during a holiday?
4, Hard to keep a count. Maybe 25., Which holiday was that?
6, I think it was Australia, Do you still talk to the people you met?
8, Not really. The interactions are usually short-lived but it's fascinating to learn where people are coming from and what matters to them," Yea, me too. I feel like God often puts strangers in front of you, and gives you an opportunity to connect with them in that moment in deeply meaningful ways. Do you ever feel like you know things about strangers without them telling you?"
10, what do you mean?," I think it's like a 6th sense, often seen as ""cold readings"" to people, but can be remarkably accurate. I once sat next to a man in a coffee and I felt a pain in my back. I asked the stranger if he had a pain. It turns out that he did in the exact spot, and said he pulled a muscle while dancing at a party. I had never met the man before and never saw him again."
12," Wow! That's interesting, borderline spooky"," There's this practice called ""Treasure Hunting"" that's kind of a fun game you play in a public place. There's a book called ""The Ultimate Treasure Hunt"" that talks about it. You use your creativity to imagine people you will meet, and you write down a description, then you associate them with a positive message or encouraging word. Maybe you saw a teenage boy in a red hat at the shopping mall in your imagination, then while at the mall, you may find someone who matches that description. You show that you have a message for him and that you have a message for a boy in a red hat. You then give him a message of kindness or whatever was on your heart. You have no idea, sometimes you meet someone who is having a really hard day, and it brings them to tears to have a stranger show them love."
14," So, do you do treasure hunting often?"," I did more when I was in grad school (and had more time). I would usually go with friends. For a while I would go to the farmers market in Santa Cruz every week and try to feel if there is something I am supposed to tell a stranger. Usually, they are vague hope-filled messages, but it's weird when I blurt out something oddly specific."
16, Hi, Any plans for the weekend?
18, my friends are gonna visit me this weekend. we might go hiking!, That's great! How's the weather over the weekend? I hope its warm.
20, Should be very sunny! you?, Cool! very depressing plans ... stay home and work 😞 I have a project deadline very close.
22, 😐 hope you get your work done very soon! a bug free weekend!," Right, very anxious! where do you plan to go for a hike?"
24, I am going to Diablo!," Nice, where is that place? I haven't been there"
26, hours drive from here. still in bay area, That's cool! How long is the hike?
28,"  Actually no idea, but it will take the entire day for that.", nice! sounds fun!
30, Hi!, Hey there! What's up???
32," Nothing much, how you doin?", I'm in New York this week for Thanksgiving. I'm squatting in the office today and I caught up with an old friend of mine  D
34, Oh wow! Sounds like fun! When was the last time you had seen this friend?," The last time in New York, back in June."
36, Ohh okay. I was going to say if it had been a long time maybe it'd be awkward...," Haha, I guess if it's been a very long time there's almost too many life events to catch up on.. especially recently"
38, Oh really? Has a lot changed in your life recently?, Haha it's probably too much to go into at the moment. Let's just say life is an exciting experience. How about you?
40," Ahhh sounds exciting indeed! My life is pretty bland. I like routine, but sometimes I wish I had more time for adventures!", What kinds of adventures?? Any ones that I would be able to join you on?
42, Hmmmm. I really want to try bull riding. Do you have any interest in that?, I'd love to try! Can we schedule something for next week?
44, Sure! What does your Saturday look like?," Saturday looks pretty good, shall we shoot for something in the morning?"
46, Hi!, hey
48, is it raining pretty bad today?," yeah, can walk too far to see all the foodtruck options"
50, surprising that the rain started early this year... I don't like them too much. They make days gloomy," yeah but I think it's good to have some rainy days in bay area, it's pretty dry here 😛"
